name,team,games,category,desc.,year,source
M. Prater,DEN.9,4.127,Substance abuse,Alcohol-related,2014.20,http://www.nfl.com/news/story/0ap3000000383065/article/broncos-matt-prater-will-be-suspended-four-games
F. Alexander,HOU.3,4.128,Substance abuse.1,Unnamed: 1030,2014.21,http://espn.go.com/nfl/story/_/id/10873670/de-frank-alexander-carolina-panthers-suspended-four-games-violating-nfl-substance-abuse-policy
J. Blackmon,JAX.7,4.129,Substance abuse.2,Unnamed: 1036,2013.16,http://thebiglead.com/2013/04/30/justin-blackmon-of-the-jaguars-suspended-for-4-games-for-violating-league-policy-on-substance-abuse/
L. Brazill,IND.5,4.130,Substance abuse.3,Unnamed: 1042,2013.17,http://www.nfl.com/news/story/0ap1000000214428/article/lavon-brazill-suspended-for-violating-substance-policy
B. Collins,MIA.5,4.131,Substance abuse.4,Unnamed: 1048,2013.18,http://www.nfl.com/news/story/0ap1000000214394/article/brandon-collins-banned-for-violating-substance-policy
F. Davis,WAS.8,4.132,Substance abuse.5,Marijuana-related.4,2011.6,http://www.cbssports.com/nfl/eye-on-football/24448694/redskins-te-fred-davis-suspended-Indefiniteinitely-by-nfl
J. Ferguson,NYJ.5,4.133,Substance abuse.6,Unnamed: 1060,1999.4,http://sports.espn.go.com/nfl/news/story?id=4973457
W. Green,CLE.5,4.134,Substance abuse.7,Marijuana-related.5,2003.6,http://sports.espn.go.com/nfl/news/story?id=1665738
R. Harrison,NE.3,4.135,Substance abuse.8,Unnamed: 1072,2007.13,http://sports.espn.go.com/nfl/news/story?id=2999994
W. Hill,NYG.8,4.136,Substance abuse.9,Marijuana-related.6,2013.19,http://espn.go.com/new-york/nfl/story/_/id/11007693/will-hill-new-york-giants-suspended-six-games-violating-nfl-substance-abuse-policy
S. Holmes,NYJ.6,4.137,Substance abuse.10,Unnamed: 1084,2010.11,http://sports.espn.go.com/new-york/nfl/news/story?id=5077088
J. Hosley,TEN.7,4.138,Substance abuse.11,Unnamed: 1090,2014.22,http://www.nfl.com/news/story/0ap2000000355977/article/giants-jayron-hosley-suspended-for-four-games
R. Jackson,WAS.9,4.139,Substance abuse.12,Unnamed: 1096,2013.20,http://www.nfl.com/news/story/0ap1000000152373/article/washington-redskins-lb-rob-jackson-suspended-four-games
T. Jackson,TB.5,4.140,Substance abuse.13,Unnamed: 1102,2009.5,http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl
J. James,ARI.4,4.141,Substance abuse.14,Unnamed: 1108,2013.21,http://profootballtalk.nbcsports.com/2013/02/13/javarris-james-suspended-four-games/
V. Miller,DEN.10,4.142,Substance abuse.15,Marijuana-related.7,2013.22,http://www.denverpost.com/ci_23711440/broncos-star-von-miller-suspended-four-games-by
O. Mobley,DEN.11,4.143,Substance abuse.16,Unnamed: 1120,1989.12,http://articles.chicagotribune.com/1989-08-30/sports/8901090097_1_steroid-drug-policy-league-spokesman-joe-browne
B. Moore,WAS.10,4.144,Substance abuse.17,Unnamed: 1126,2014.23,http://www.cbssports.com/nfl/eye-on-football/24519089/redskins-de-brandon-moore-suspended-4-games
S. Nelson,BUF.3,4.145,Substance abuse.18,Unnamed: 1132,2010.12,http://www.buffalobills.com/news/article-3/TE-Nelson-suspended-for-first-four-games/b4507a26-f7ac-4bf9-9cf7-c47b2f079781
B. Reed,PIT.3,4.146,Substance abuse.19,Unnamed: 1138,2013.23,http://www.behindthesteelcurtain.com/2013/7/19/4537156/former-steelers-receiver-bert-reed-suspended-four-games
D. Robinson,CAR.6,4.147,Substance abuse.20,Unnamed: 1144,2010.13,http://sports.espn.go.com/nfl/news/story?id=5906973
A. Sanders,JAX.8,4.148,Substance abuse.21,Unnamed: 1150,2014.24,http://espn.go.com/nfl/story/_/id/11249916/ace-sanders-jacksonville-jaguars-takes-leave-suspension-looming
V. Taua,SEA.4,4.149,Substance abuse.22,Unnamed: 1156,2013.24,http://seattletimes.com/html/seahawks/2022327022_seahawks25xml.html
C. Thompson,BAL.5,4.150,Substance abuse.23,Unnamed: 1162,2013.25,http://www.nfl.com/news/story/0ap1000000156390/article/christian-thompson-suspended-by-nfl-for-substance-abuse
W. Thurmond,SEA.5,4.151,Substance abuse.24,Unnamed: 1168,2013.26,http://www.nfl.com/news/story/0ap2000000286330/article/walter-thurmond-to-drop-appeal-of-4game-suspension
D. Washington,ARI.5,4.152,Substance abuse.25,Unnamed: 1174,2012.28,http://www.nfl.com/news/story/0ap2000000354739/article/daryl-washington-suspended-for-at-least-one-year
R. Watkins,KC.6,4.153,Substance abuse.26,Unnamed: 1180,2014.25,http://espn.go.com/nfl/story/_/id/11173854/rokevious-watkins-kansas-city-chiefs-suspended-four-games-violating-nfl-substance-abuse-policy
L. White,FREE.4,4.154,Substance abuse.27,Unnamed: 1186,2010.14,http://www.nfl.com/news/story/09000d5d818ee863/article/nfl-reveals-fourgame-ban-for-white-eightgamer-for-thomas
R. Williams,MIA.6,4.155,Substance abuse.28,Unnamed: 1192,2005.6,http://sports.espn.go.com/nfl/news/story?id=2421774
B. Browner,SEA.6,4.156,"Substance abuse, repeated offense.18",Unnamed: 1198,2013.27,http://profootballtalk.nbcsports.com/2014/03/05/browner-is-reinstated-with-four-game-suspension/
J. Lewis,BAL.6,4.157,"Substance abuse, repeated offense.19",Unnamed: 1204,2004.3,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=1279780
A. Smith,HOU.4,3,In-game violence.1,Ripping off opponent's helmet,2013.28,http://www.nfl.com/news/story/0ap1000000233139/article/houston-texans-de-antonio-smiths-suspension-appeal-denied
V. Amoia,NO.1,3.1,PEDs.125,Unnamed: 1216,1989.13,http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html
J. Brandom,ARI.6,3.2,PEDs.126,Unnamed: 1222,1990.1,http://articles.latimes.com/1990-08-14/sports/sp-693_1_offensive-linemen
L. Cheek,DAL.2,3.3,PEDs.127,Unnamed: 1228,1990.2,http://www.nytimes.com/1990/08/17/sports/drug-suspension-for-bax-of-bucs.html
B. Hartmann,WAS.11,3.4,PEDs.128,Unnamed: 1234,2012.29,http://profootballtalk.nbcsports.com/2012/05/22/hartmann-explains-his-three-game-suspension/
M. Mraz,LA,3.5,PEDs.129,Unnamed: 1240,1989.14,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
B. Riley,NYJ.7,3.6,PEDs.130,Unnamed: 1246,1989.15,http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html
C. Benson,DEN.12,3.7,Personal conduct.19,Misdemeanour assault,2014.26,http://www.foxsports.com/nfl/story/Cincinnati-Bengals-RB-Cedric-Benson-suspended-three-games-092211
A. Berry,CLE.6,3.8,Personal conduct.20,DUI arrest,2012.30,http://www.nfl.com/news/story/0ap1000000052406/article/aaron-berry-gets-3game-nfl-suspension-for-arrests
J. Felton,CAR.7,3.9,Personal conduct.21,Reckless driving,2013.29,http://www.nfl.com/news/story/0ap1000000234517/article/minnesota-vikings-jerome-felton-suspended-3-games
C. Haggans,WAS.12,3.10,Personal conduct.22,DUI arrest.1,2013.30,http://www.mercurynews.com/49ers/ci_21575932/san-francisco-49ers-linebacker-clark-haggans-suspended?source=rss_viewed
V. Jackson,SD.4,3.11,Personal conduct.23,DUI arrest.2,2010.15,http://sports.espn.go.com/nfl/news/story?id=5345629
D. Jarrett,CAR.8,3.12,Personal conduct.24,DUI arrest.3,2012.31,http://www.nfl.com/news/story/09000d5d829ad13c/article/dwayne-jarrett-announces-retirement-from-football
M. Jones,JAX.9,3.13,Personal conduct.25,"Arrest, cocaine possession",2009.6,http://sports.espn.go.com/nfl/news/story?id=4207106
M. Lynch,BUF.4,3.14,Personal conduct.26,Misdemeanour gun charge,2009.7,http://sports.espn.go.com/nfl/news/story?id=4054396
M. Pittman,TB.6,3.15,Personal conduct.27,Domestic violence.1,2004.4,http://sports.espn.go.com/nfl/news/story?id=1826233
D. Washington,KC.7,3.16,Personal conduct.28,"DUI, marijuana-related",2012.32,http://www.nfl.com/news/story/09000d5d82ab54ab/article/kansas-city-chiefs-donald-washington-charged-with-dui
D.J. Williams,DEN.13,3.17,Personal conduct.29,DUI arrest.4,2012.33,http://espn.go.com/nfl/story/_/id/8466699/denver-broncos-linebacker-dj-williams-suspended-3-more-games
L. Irvin,LA.1,3.18,Substance abuse.29,Marijuana-related.8,1989.16,http://articles.latimes.com/1989-08-30/sports/sp-1280_1_leroy-irvin
J. Simpson,IND.6,3.19,Substance abuse.30,Marijuana-related.9,2012.34,http://espn.go.com/nfl/story/_/id/7849039/free-agent-receiver-jerome-simpson-suspended-three-games-league-source-says
C. Martin,GB.7,2,In-game violence.2,Illegal hit,1986,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
N. Suh,DET.5,2.1,In-game violence.3,Stomping on player.1,2011.7,http://espn.go.com/nfl/story/_/id/7293935/ndamukong-suh-detroit-lions-suspended-two-games-pay
W. Smith,NO.2,2.2,PEDs.131,Unnamed: 1342,2012.35,http://www.nfl.com/news/story/09000d5d821ea898/article/nfl-suspends-vikes-williams-saints-smith-in-starcaps-case
K. Williams,MIN.7,2.3,PEDs.132,Unnamed: 1348,2011.8,http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games
P. Williams,MIN.8,2.4,PEDs.133,Unnamed: 1354,2011.9,http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games
S. Brandon,DEN.14,2.5,Personal conduct.30,Domestic violence.2,2007.14,http://www.denverpost.com/broncos/ci_6362668
J. Bridges,ARI.7,2.6,Personal conduct.31,"Arrest, misdemeanour assault for pointing gun at stripper",2012.36,http://www.newsobserver.com/2012/11/14/2482573/guard-jeremy-bridges-to-get-2nd.html
F. Evans,MIN.9,2.7,Personal conduct.32,Marijuana-related.10,2012.37,http://www.nfl.com/news/story/09000d5d80496e88/article/vikings-evans-gets-twogame-suspension-per-nfl-conduct-policy
L. Hill,SEA.7,2.8,Personal conduct.33,Domestic violence.3,2013.31,http://www.nfl.com/news/story/0ap1000000132752/article/seattle-seahawks-leroy-hill-arrested-on-assault-charges
M. Leshoure,DET.6,2.9,Personal conduct.34,"Arrest, Marijuana-related",2012.38,http://www.nfl.com/news/story/09000d5d829cc3b8/article/mikel-leshoure-suspended-two-games-by-nfl
B. McDonald,FREE.5,2.10,Personal conduct.35,Unnamed: 1390,2013.32,http://www.usatoday.com/story/sports/nfl/2013/09/10/nfl-suspends-tom-zbikowski-brandon-mcdonald/2795979/
B. Underwood,GB.8,2.11,Personal conduct.36,Domestic violence.4,2011.10,http://www.nationalfootballpost.com/Report-NFL-suspends-Brandon-Underwood-for-2-games.html
M. Vick,ATL.4,2.12,Personal conduct.37,Dogfighting,2007.15,http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock
C. Williams,BAL.7,2.13,Personal conduct.38,Domestic violence.5,2010.16,http://sports.espn.go.com/nfl/news/story?id=5401102
J. Babineaux,SEA.8,2.14,Substance abuse.31,Unnamed: 1414,2008.5,http://seattletimes.com/html/seahawks/2008148770_webhawk31.html
J. Gordon,CLE.7,2.15,Substance abuse.32,Unnamed: 1420,2013.33,http://www.nfl.com/news/story/0ap1000000210218/article/josh-gordon-suspended-two-cleveland-browns-games
D. Goldson,DEN.15,1,In-game violence.4,Head-butt,2013.34,http://www.nfl.com/news/story/0ap2000000284209/article/bucs-dashon-goldson-has-onegame-suspension-upheld
M. Griffin,TEN.8,1.1,In-game violence.5,Illegal hit.1,2013.35,http://www.nfl.com/news/story/0ap2000000287948/article/titans-michael-griffin-suspended-1-game-for-illegal-hit
J. Harrison,PIT.4,1.2,In-game violence.6,Helmet-to-helmet hit,2011.11,http://espn.go.com/nfl/story/_/id/7348112/pittsburgh-steelers-james-harrison-banned-1-game-hit-cleveland-browns-colt-mccoy
J. Mays,DEN.16,1.3,In-game violence.7,Helmet-to-helmet hit.1,2012.39,http://www.nfl.com/news/story/0ap1000000066219/article/joe-mays-suspended-one-game-for-hit-on-matt-schaub
B. Meriweather,WAS.13,1.4,In-game violence.8,Helmet-to-helmet hit.2,2013.36,http://www.nfl.com/news/story/0ap2000000268595/article/brandon-meriweathers-suspension-reduced-to-1-game
E. Walden,IND.7,1.5,In-game violence.9,Head-butt.1,2013.37,http://www.nfl.com/news/story/0ap2000000284117/article/erik-walden-has-onegame-ban-for-headbutt-upheld
J. Babineaux,ATL.5,1.6,Personal conduct.39,Accused of battery and resisting arrest,2010.17,http://usatoday30.usatoday.com/sports/football/nfl/falcons/2010-08-03-jonathan-babineaux_N.htm
C. Benson,PIT.5,1.7,Personal conduct.40,Misdemeanour assault.1,2014.27,http://espn.go.com/nfl/story/_/id/7119178/suspension-cincinnati-bengals-cedric-benson-reduced-1-game-3
R. Bernard,SEA.9,1.8,Personal conduct.41,Assault,2008.6,http://seattletimes.com/html/seahawks/2008148770_webhawk31.html
M. Boley,NYG.9,1.9,Personal conduct.42,Domestic violence.6,2009.8,http://sports.espn.go.com/nfl/news/story?id=4311313
K. Britt,TEN.9,1.10,Personal conduct.43,DUI arrest.5,2012.40,http://www.nfl.com/news/story/0ap1000000056660/article/kenny-britt-of-titans-suspended-one-game-by-nfl
D. Carswell,DEN.17,1.11,Personal conduct.44,Domestic violence.7,2003.7,http://a.espncdn.com/nfl/news/2003/0703/1576427.html
D. Dobbs,SF.3,1.12,Personal conduct.45,"DUI arrest, possession of marijuana",2013.38,http://espn.go.com/nfl/trainingcamp13/story/_/id/9568430/demarcus-dobbs-san-francisco-49ers-suspended-week-1
B. Hopkins,TEN.10,1.13,Personal conduct.46,Domestic violence.8,2005.7,http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2138940
L. Johnson,KC.8,1.14,Personal conduct.47,Simple assault for spitting drink in a woman's face,2008.7,http://sports.espn.go.com/nfl/news/story?id=3675871
R. Manning,CHI.5,1.15,Personal conduct.48,Felony arrest charges,2006.10,http://sports.espn.go.com/nfl/news/story?id=2672378
B. Marshall,DEN.18,1.16,Personal conduct.49,Domestic violence.9,2012.41,http://www.nfl.com/news/story/09000d5d827969b7/article/report-brandon-marshall-accused-of-hitting-woman-outside-club
T. McDaniel,TB.7,1.17,Personal conduct.50,Domestic violence.10,2010.18,http://sports.espn.go.com/nfl/news/story?id=5622330
Q. Ojinnaka,ATL.6,1.18,Personal conduct.51,Domestic violence.11,2010.19,http://sports.espn.go.com/nfl/news/story?id=5249193
M. Purify,CIN.9,1.19,Personal conduct.52,Disorderly conduct,2010.20,http://espn.go.com/blog/afcnorth/post/_/id/16670/bengals-wr-purify-suspended-one-game
D. Rhodes,CAR.9,1.20,Personal conduct.53,Reckless driving.1,2007.16,http://sports.espn.go.com/nfl/news/story?id=2925395
V. Riley,KC.9,1.21,Personal conduct.54,Domestic violence.12,2002.6,http://a.espncdn.com/nfl/news/2003/0703/1576427.html
D. Rodgers,MIA.7,1.22,Personal conduct.55,Domestic violence.13,2003.8,http://articles.sun-sentinel.com/2002-07-19/sports/0207190115_1_derrick-rodgers-kareff-rodgers-william-peguero
A. Talib,TB.8,1.23,Personal conduct.56,"Simple battery, resisting arrest",2009.9,http://www.denverpost.com/broncos/ci_25352579/broncos-cornerback-aqib-talib-comes-denver-plenty-baggage
F. Washington,OAK.4,1.24,Personal conduct.57,Domestic violence.14,2008.8,http://espn.go.com/blog/baltimore-ravens/post/_/id/10593/what-punishment-should-ray-rice-expect
P. Zukauskas,CLE.8,1.25,Personal conduct.58,DUI (acquitted),2004.5,http://www.usatoday.com/sports/nfl/arrests/
N. Bradham,BUF.5,1.26,Substance abuse.33,Marijuana-related.11,2014.28,http://www.nfl.com/news/story/0ap2000000371523/article/bills-lb-nigel-bradham-suspended-for-opening-game
N. Collins,CHI.6,1.27,Substance abuse.34,Marijuana-related.12,2012.42,http://www.nfl.com/news/story/09000d5d82aaddb5/article/chicago-bears-dt-nate-collins-suspended-one-game-by-nfl
T. Hali,KC.10,1.28,Substance abuse.35,Unnamed: 1594,2012.43,http://espn.go.com/nfl/trainingcamp12/story/_/id/8284849/kansas-city-chiefs-tamba-hali-suspended-one-game-nfl
I. Pead,STL.7,1.29,Substance abuse.36,Marijuana-related.13,2013.39,http://www.nfl.com/news/story/0ap1000000208343/article/isaiah-pead-suspended-for-substance-abuse-violation
D. Reed,BAL.8,1.30,Substance abuse.37,Marijuana-related.14,2011.12,http://www.nfl.com/news/story/09000d5d821eb87b/article/ravens-david-reed-suspended-for-substanceabuse-violation
L. Wilson,NO.3,1.31,Substance abuse.38,Marijuana-related.15,2012.44,http://profootballtalk.nbcsports.com/2012/07/06/saints-linebacker-lawrence-wilson-suspended-fined-by-league/
D. Scott,MIN.10,3.20,Personal conduct.59,Child endangerment,2008.9,http://sports.espn.go.com/nfl/news/story?id=3487505
