id,candidate,song,artist,sentiment,theme,album_release_date,line,url
34,Hillary Clinton.18,Energy,Big Boi.1,neutral.19,personal.8,2008.1,Energy like Bill and Hillary Clinton,http://genius.com/Raheem-devaughn-energy-feat-big-boi-lyrics
35,Hillary Clinton.19,No Sunshine,Rhymefest,positive.3,money,2007.1,Until we all fuckin' with bills/Bill's like Hillary Rodham,http://genius.com/Rhymefest-no-sunshine-lyrics
36,Hillary Clinton.20,Unapologetic,Charles Hamilton,negative.11,political.7,2008.2,"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----",http://genius.com/Charles-hamilton-unapologetic-lyrics
37,Hillary Clinton.21,Dark Night of the Blood Spiller,Chino XL,negative.12,sexual,1994,Getting my dick sucked / On the cover of Source magazine by Hillary Clinton,http://genius.com/Chino-xl-night-of-the-blood-spiller-lyrics
38,Hillary Clinton.22,Nunca,Chino XL.1,neutral.20,N/A.18,2001.2,"I'll shoot out with Bill & Hillary, still won't run out of artillery",http://genius.com/Chino-xl-nunca-lyrics
39,Hillary Clinton.23,Datpiff (freeverse series Ep. 4),Chris Webby.1,neutral.21,N/A.19,2016.2,"The planet is collapsing, economies are crashin' / And Hillary Clinton is dabbin'",http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics
40,Hillary Clinton.24,One,Corny,positive.4,money.1,2014.1,"Blowing up like some artillery, Bills coming to me like Hillary",http://genius.com/Corny-one-lyrics
41,Hillary Clinton.25,Single Again (Remix),Trina,positive.5,N/A.20,2007.2,Like Hillary Clinton / I'm the boss,http://genius.com/Trina-single-again-remix-lyrics
42,Hillary Clinton.26,Fukinwichu,Cunninlynguists,negative.13,personal.9,2001.3,Send Hillary the Bill and Lewinski scene in claymation,http://genius.com/Cunninlynguists-fukinwichu-lyrics
43,Hillary Clinton.27,Opening Day,E-dubble,negative.14,N/A.21,2010,"Specially when you throwin' like Hillary Rodham / Problem, from top to bottom",http://genius.com/E-dubble-opening-day-lyrics
44,Hillary Clinton.28,Role Model,Eminem,negative.15,N/A.22,1999,Hillary Clinton tried to slap me and call me a pervert / I ripped her fucking tonsils out and fed her sherbet (bitch!),http://genius.com/Eminem-role-model-lyrics
45,Hillary Clinton.29,Sway in the Morning Freestyle,Eminem.1,negative.16,political.8,2015.2,"But Hilllary, I promise to wipe my server clean if you face subpoenas",http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics
46,Hillary Clinton.30,A Milli,Fabolous,negative.17,personal.10,2008.3,"Hillary, Bill Clin--Fuck it. They don't get it",http://genius.com/Fabolous-a-milli-lyrics
47,Hillary Clinton.31,Hit It for Free,Field Mob,negative.18,personal.11,2002,I'm like Farakahn being best friends with porky pig / Or like Hillary Clinton dikin' with Lewinsky,http://genius.com/Field-mob-hit-it-for-free-lyrics
48,Hillary Clinton.32,Make U Feel Alright,Jay Da Menace,positive.6,personal.12,2009.1,"Got'chu feelin me the way that Jada feelin Will / And Hillary feelin Bill, a chick that gon' keep it real - f'real",http://genius.com/Juvenile-make-u-feel-alright-lyrics
49,Hillary Clinton.33,Dope Boy,Gorilla Zoe.1,neutral.22,N/A.23,2009.2,"Hey Ms. Hilary, can't be kin to me (No) / But I keep that white bitch on another level G",http://genius.com/Gorilla-zoe-dope-boy-lyrics
50,Hillary Clinton.34,Money Man.1,Gorilla Zoe.2,neutral.23,personal.13,2007.3,"Keep dat white girl Hillary, a pound of Bill Clinton",http://genius.com/Gorilla-zoe-money-man-lyrics
51,Hillary Clinton.35,What's Goin' On,Gravediggaz,neutral.24,personal.14,1997,"Killa Bee, presidential suite, Bill and Hillary",http://genius.com/Gravediggaz-whats-goin-on-lyrics
52,Hillary Clinton.36,Greasy,Gucci Mane,neutral.25,N/A.24,2013.4,What you're Hillary Rodham bitch?,http://genius.com/Gucci-mane-greasy-lyrics
53,Hillary Clinton.37,Every Girl,Gudda Gudda,neutral.26,N/A.25,2010.1,"And Hillary can Rodham too, boy, I gets my pimpin' on",http://genius.com/Young-money-every-girl-lyrics
54,Hillary Clinton.38,Bad Bad Bad,Gucci Mane.1,positive.7,personal.15,2010.2,Stay down like Hillary and I can be your Billy,http://genius.com/Gucci-mane-bad-bad-bad-lyrics
55,Hillary Clinton.39,Hand of the Dead Body,Ice Cube.1,negative.19,personal.16,1994.1,"And I can't stop, won't stop / So fuck Bill and Hillary",http://genius.com/Scarface-hand-of-the-dead-body-lyrics
56,Hillary Clinton.40,Stand Tall,Ice Cube.2,negative.20,N/A.26,2008.4,Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten,http://genius.com/Ice-cube-stand-tall-lyrics
57,Hillary Clinton.41,American History X,Ill Bill,negative.21,political.9,2004,"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it",http://genius.com/Ill-bill-american-history-x-lyrics
58,Hillary Clinton.42,Twisted Thoughts,ISO,neutral.27,political.10,2015.3,"Couldn't pay my bills, where the fuck is Hillary?",http://genius.com/King-iso-twisted-thoughts-lyrics
59,Hillary Clinton.43,Holla at a Playa (Remix),Jae Millz,neutral.28,political.11,2008.5,"Straight Osam 'em, treat 'em like Hillary",http://genius.com/Jae-millz-holla-at-a-playa-remix-lyrics
60,Hillary Clinton.44,Mayor Bloomberg: Who's Really in Control?,Jasiri X,neutral.29,N/A.27,2013.5,2016 that's right Hillary I'll show you what a Billie means,http://genius.com/Jasiri-x-mayor-bloomberg-whos-really-in-control-lyrics
61,Hillary Clinton.45,NYMP,Jay Z,neutral.30,political.12,1999.1,"I take and rape villages, who gon' stop him? / Not Rudy Guiliani, not Hillary Rodham",http://genius.com/Jay-z-nymp-lyrics
62,Hillary Clinton.46,"Bitch, Don't Kill My Vibe (Remix)",Jay Z.1,neutral.31,N/A.28,2012.7,Sittin' next to Hillary smellin' like dank,http://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics
63,Hillary Clinton.47,I Luv Your Girl (Remix),Jeezy,neutral.32,N/A.29,2008.6,"It goes Hillary Clinton, Barack Obama",http://genius.com/The-dream-i-luv-your-girl-remix-lyrics
64,Hillary Clinton.48,U Ain't Fresh,KAM,neutral.33,personal.17,2000.2,"Like Bill ass Hillary, ""what's up?"" / Still love me, pretty young thang?",http://genius.com/Dj-quik-u-aint-fresh-lyrics
65,Hillary Clinton.49,Pressure,Killer Mike,negative.22,political.13,2008.7,Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush,http://genius.com/Killer-mike-pressure-lyrics
66,Hillary Clinton.50,R.I.P.,King Kold,neutral.34,N/A.30,2014.2,Was content with that basic shit / My Hillary Clinton,http://genius.com/King-kold-rip-lyrics
67,Hillary Clinton.51,Bring It Back,KRS-ONE,neutral.35,N/A.31,1997.1,It Takes a Village like Hillary,http://genius.com/Krs-one-bring-it-back-lyrics
68,Hillary Clinton.52,Smilin' Faces,Kutt Calhoun,negative.23,N/A.32,2008.8,Look at Hillary Clinton when she speak / Looking like the devil with a grin,http://genius.com/Kutt-calhoun-smilin-faces-lyrics
69,Hillary Clinton.53,Whatever You Want,Big Sean,positive.8,money.2,2010.3,Leading lady like Hillary grabbing big Bills,http://genius.com/Big-sean-whatever-you-want-lyrics
70,Hillary Clinton.54,Lollipop,Lil Wayne,neutral.36,personal.18,2008.9,"And when I'm at the bottom, she Hillary Rodham",http://genius.com/Lil-wayne-lollipop-lyrics
71,Hillary Clinton.55,Let's Stay Together,Ludacris,negative.24,personal.19,2008.10,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it",http://genius.com/Ludacris-lets-stay-together-lyrics
72,Hillary Clinton.56,Politics as Usual (Obama Is Here),Ludacris.1,negative.25,political.14,2008.11,Hillary hated on you so that {censored} bitch is irrelevant,http://genius.com/Ludacris-politics-as-usual-obama-is-here-lyrics
73,Hillary Clinton.57,The Ghetto Won't Change,Master P,negative.26,political.15,1996,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real",http://genius.com/Master-p-the-ghetto-wont-change-lyrics
74,Hillary Clinton.58,Bitch I'm Bill Clinton,Lil B,positive.9,political.16,2010.4,"Shout-outs to Hillary Clinton, you gonna win that presidency",http://genius.com/Lil-b-bitch-im-bill-clinton-lyrics
75,Hillary Clinton.59,Fuck the Government,Mediumjay,negative.27,political.17,2012.8,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch",http://genius.com/Mediumjay-fuck-the-government-lyrics
76,Hillary Clinton.60,Cradle Rock,Method Man,negative.28,political.18,1998,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary,http://genius.com/Method-man-cradle-rock-lyrics
77,Hillary Clinton.61,Vietnam,Mickey Factz,neutral.37,political.19,2008.12,Nothing against Hilary Clinton / But Obama's about to be winning,http://genius.com/Mickey-factz-vietnam-lyrics
78,Hillary Clinton.62,A Thing for Me,G-Eazy,neutral.38,personal.20,2011.3,"Liberally, accepting Monicas but missing Hillary",http://genius.com/G-eazy-a-thing-for-me-lyrics
79,Hillary Clinton.63,Poizon Windz,Monsta Island Czars,neutral.39,N/A.33,2003,"Head essential lightning agency throats, thinkin of Hilary Clinton",http://genius.com/Monsta-island-czars-poizon-windz-lyrics
80,Hillary Clinton.64,Little This Little That,Naj Murph,neutral.40,personal.21,2013.6,I need a Hillary so let me know if you fit the bill; when we chill,http://genius.com/Naj-murph-little-this-little-that-lyrics
81,Hillary Clinton.65,Male Feminist,Mazeman,positive.10,political.20,2011.4,"Hilary Clinton, yeah she's winning",http://genius.com/Mc-lars-male-feminist-lyrics
82,Hillary Clinton.66,Shoot Me a Fair One,Papoose,negative.29,political.21,2008.13,"More like Obama versus Hillary, nothing / A intelligent black man against a woman",http://genius.com/Papoose-shoot-me-a-fair-one-lyrics
83,Hillary Clinton.67,Krazy,Pitbull,neutral.41,personal.22,2009.3,Obama with no color / Hillary with no Bill,http://genius.com/Pitbull-krazy-lyrics
84,Hillary Clinton.68,Happy People,Prince Ital Joe,negative.30,political.22,1993,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality,http://genius.com/Prince-ital-joe-happy-people-lyrics
85,Hillary Clinton.69,Yzark,Proof,neutral.42,personal.23,2004.1,While Clinton got head I was in the sack with old Hillary,http://genius.com/Proof-yzark-lyrics
86,Hillary Clinton.70,PSA,Pryde,neutral.43,personal.24,2012.9,But they only like me for my bill like they're Hillary,http://genius.com/Pryde-psa-lyrics
87,Hillary Clinton.71,Fall Down Brew,R.A. the Rugged Man,negative.31,N/A.34,2008.14,"Sewed Hillary Clinton's mouth, and that's after drinkin just one",http://genius.com/Chief-chinchilla-aka-j-zone-fall-down-brew-lyrics
88,Hillary Clinton.72,Smells Like,R.A. The Rugged Man.1,neutral.44,sexual.1,2013.7,"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum",http://genius.com/Jarren-benton-smells-like-lyrics
89,Hillary Clinton.73,Born to Ball,Skeme,positive.11,money.3,2012.10,But I'm all about my bills / Grind stay Hillary Rodham,http://genius.com/Skeme-born-to-ball-lyrics
90,Hillary Clinton.74,RNQ,Rhymefest.1,negative.32,political.23,2009.4,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang",http://genius.com/Rhymefest-rnq-lyrics
91,Hillary Clinton.75,TimeZone,Saba,positive.12,personal.25,2014.3,Y'all ain't near and dear to me like William and Hillary,http://genius.com/Saba-timezone-lyrics
92,Hillary Clinton.76,White Girl (Remix),Rick Ross,positive.13,N/A.35,2007.4,"Hilary Clinton, she my best friend / Even co-signed for that new white Benz",http://genius.com/Jeezy-white-girl-remix-lyrics
93,Hillary Clinton.77,Now That I'm Paid,Rick Ross.1,neutral.45,N/A.36,2012.11,Whip it in the kitchen before Hillary became a Clinton,http://genius.com/The-game-now-that-im-paid-lyrics
94,Hillary Clinton.78,Life So Hard,Migos,positive.14,N/A.37,2015.4,Make a basic bitch feel like Hillary Clinton,http://genius.com/Migos-life-so-hard-lyrics
95,Hillary Clinton.79,I'm Me Freestyle,"Royce Da 5'9""",neutral.46,N/A.38,2008.15,"This industry is Hillary Clinton literally, listen / You ain't got no choice now",http://genius.com/Royce-da-59-im-me-freestyle-lyrics
96,Hillary Clinton.80,Back Together,Nicki Minaj,positive.15,N/A.39,2015.5,Used to call me Hillary cause I ride 'em,http://genius.com/Robin-thicke-back-together-lyrics
98,Hillary Clinton.81,What the Fuck Is Up?,Scarlett,neutral.47,personal.26,1999.2,"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky",http://genius.com/Nore-what-the-fuck-is-up-lyrics
99,Hillary Clinton.82,Shit Iz Real,Shyheim,neutral.48,money.4,1996.1,Where ya at? Cats sacking green/ Bill/Hill Clinton,http://genius.com/Shyheim-shit-iz-real-lyrics
100,Hillary Clinton.83,Badman in Tivoli,Skepta,neutral.49,personal.27,2012.12,Black Bill Clinton linking Monica and Hillary,http://genius.com/Skepta-badman-in-tivoli-lyrics
101,Hillary Clinton.84,Fresh,Slick Rick,neutral.50,personal.28,1998.1,Babies jump out the carriage / Could even fix the Hillary and Clinton marriage,http://genius.com/Jermaine-dupri-fresh-lyrics
102,Hillary Clinton.85,Sky Lanterns,Social Club,neutral.51,N/A.40,2015.6,Hillary Jane over Hilary Rodham,http://genius.com/Social-club-sky-lanterns-lyrics
103,Hillary Clinton.86,Gang Love,T.H.U.G. Angelz,negative.33,political.24,2008.16,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians,http://genius.com/Thug-angelz-gang-love-lyrics
