country,confederation,population_share,tv_audience_share,gdp_weighted_share
Tajikistan,AFC.36,0.1.64,0.1.65,0.0
Iceland,UEFA.43,0.0.32,0.0.33,0.0
Uganda,CAF.15,0.5.11,0.2.28,0.0
Libya,CAF.16,0.1.66,0.0.34,0.0
Palestine,AFC.37,0.1.67,0.1.68,0.0
Kyrgyzstan,AFC.38,0.1.69,0.1.70,0.0
Mongolia,AFC.39,0.0.35,0.0.36,0.0
Montenegro,UEFA.44,0.0.37,0.0.38,0.0
Tanzania,CAF.17,0.7.8,0.1.71,0.0
Georgia,UEFA.45,0.1.72,0.0.39,0.0
Suriname,CONCACAF.13,0.0.40,0.0.41,0.0
Sudan,CAF.18,0.5.12,0.1.73,0.0
Gabon,CAF.19,0.0.42,0.0.43,0.0
Madagascar,CAF.20,0.3.25,0.1.74,0.0
Tunisia,AFC.40,0.2.29,0.0.44,0.0
Ethiopia,CAF.21,1.3.2,0.2.30,0.0
Zimbabwe,CAF.22,0.2.31,0.1.75,0.0
Namibia,CAF.23,0.0.45,0.0.46,0.0
Bahamas,CONCACAF.14,0.0.47,0.0.48,0.0
Papua New Guinea,OFC.1,0.1.76,0.1.77,0.0
Guyana,CONCACAF.15,0.0.49,0.0.50,0.0
Turks & Caicos,CONCACAF.16,0.0.51,0.0.52,0.0
Congo DR,CAF.24,0.9.4,0.2.32,0.0
Burkina Faso,CAF.25,0.2.33,0.1.78,0.0
Guinea,CAF.26,0.2.34,0.1.79,0.0
Haiti,CONCACAF.17,0.1.80,0.1.81,0.0
Fiji,OFC.2,0.0.53,0.0.54,0.0
Barbados,CONCACAF.18,0.0.55,0.0.56,0.0
Mali,CAF.27,0.2.35,0.0.57,0.0
Bermuda,CONCACAF.19,0.0.58,0.0.59,0.0
St. Maarten,CONCACAF.20,0.0.60,0.0.61,0.0
Equatorial Guinea,CAF.28,0.0.62,0.0.63,0.0
Mozambique,CAF.29,0.3.26,0.1.82,0.0
Seychelles,CAF.30,0.0.64,0.0.65,0.0
Cape Verde,CAF.31,0.0.66,0.0.67,0.0
Benin,CAF.32,0.1.83,0.0.68,0.0
Swaziland,CAF.33,0.0.69,0.0.70,0.0
Cayman Islands,CONCACAF.21,0.0.71,0.0.72,0.0
Aruba,CONCACAF.22,0.0.73,0.0.74,0.0
Maldives,AFC.41,0.0.75,0.0.76,0.0
Niger,CAF.34,0.2.36,0.1.84,0.0
Curacao,CONCACAF.23,0.0.77,0.0.78,0.0
St. Lucia,CONCACAF.24,0.0.79,0.0.80,0.0
Togo,CAF.35,0.1.85,0.0.81,0.0
Burundi,CAF.36,0.1.86,0.1.87,"0.0
""Congo"," Rep.""",CAF.37,0.1.88,0.0.82,0.0
Antigua & Barbuda,CONCACAF.25,0.0.83,0.0.84,0.0
Chad,CAF.38,0.2.37,0.0.85,0.0
Eritrea,CAF.39,0.1.89,0.0.86,0.0
Grenada,CONCACAF.26,0.0.87,0.0.88,0.0
Lesotho,CAF.40,0.0.89,0.0.90,0.0
St. Vincent,CONCACAF.27,0.0.91,0.0.92,0.0
Malawi,CAF.41,0.2.38,0.0.93,0.0
Sierra Leone,CAF.42,0.1.90,0.0.94,0.0
Mauritania,CAF.43,0.1.91,0.0.95,0.0
Solomon Islands,OFC.3,0.0.96,0.0.97,0.0
Dominica,CONCACAF.28,0.0.98,0.0.99,0.0
Timor,AFC.42,0.0.100,0.0.101,0.0
St. Kitts,CONCACAF.29,0.0.102,0.0.103,0.0
Rwanda,CAF.44,0.2.39,0.0.104,0.0
Somalia,CAF.45,0.1.92,0.0.105,0.0
Gambia,CAF.46,0.0.106,0.0.107,0.0
Samoa,OFC.4,0.0.108,0.0.109,0.0
Guinea-Bissau,CAF.47,0.0.110,0.0.111,0.0
Central African Republic,CAF.48,0.1.93,0.0.112,0.0
Vanuatu,OFC.5,0.0.113,0.0.114,0.0
American Samoa,OFC.6,0.0.115,0.0.116,0.0
Cook Islands,OFC.7,0.0.117,0.0.118,0.0
Tonga,OFC.8,0.0.119,0.0.120,0.0
Liberia,CAF.49,0.1.94,0.0.121,0.0
Palau,OFC.9,0.0.122,0.0.123,0.0
Nauru,OFC.10,0.0.124,0.0.125,0.0
Niue,OFC.11,0.0.126,0.0.127,0.0.128
